No,ポケモン名,技名前,タイプ,分類,威力,命中,PP,技のヒット数,技の説明,更新日,候補
3,フシギバナ,みがわり,ノーマル,変化,0,-,12,,自分のHPを最大HPの1/4減らしみがわりを出す。みがわりは、自分の代わりに技を受ける。最大HPの1/4のダメージを受けると消える。,2026/4/10,
3,フシギバナ,ほえる,ノーマル,変化,0,-,20,,相手に控えがいる場合、相手をランダムに交代させる。,2026/4/10,
3,フシギバナ,つるぎのまい,ノーマル,変化,0,-,20,,自分の攻撃を2段階上げる。,2026/4/10,
3,フシギバナ,パワーウィップ,くさ,物理,120,85,12,1,通常の攻撃技。,2026/4/10,
3,フシギバナ,はなふぶき,くさ,物理,90,100,16,1,通常の攻撃技。,2026/4/10,
3,フシギバナ,タネばくだん,くさ,物理,80,100,16,1,通常の攻撃技。,2026/4/10,
3,フシギバナ,グラススライダー,くさ,物理,55,100,20,1,グラスフィールド状態の効果を受けている場合、優先度+1になる。,2026/4/10,
3,フシギバナ,くさわけ,くさ,物理,50,100,20,1,自分の素早さを1段階上げる。,2026/4/10,
3,フシギバナ,タネマシンガン,くさ,物理,25,100,20,2～5,2ー5回連続で攻撃する。,2026/4/10,
3,フシギバナ,ハードプラント,くさ,特殊,150,90,8,1,使った次のターン、自分は反動状態になる。,2026/4/10,
3,フシギバナ,はなびらのまい,くさ,特殊,120,100,12,1,自分はあばれ状態になる。,2026/4/10,
3,フシギバナ,ソーラービーム,くさ,特殊,120,100,12,1,使ったターンで溜め状態になり、次のターンで攻撃する。にほんばれ状態の場合は溜め状態にならず、すぐに攻撃できる。他の天気の場合は威力が1/2になる。,2026/4/10,TRUE
3,フシギバナ,エナジーボール,くさ,特殊,90,100,12,1,10%の確率で相手の特防を1段階下げる。,2026/4/10,TRUE
3,フシギバナ,ギガドレイン,くさ,特殊,75,100,12,1,相手に与えたダメージの1/2自分のHPを回復する。,2026/4/10,TRUE
3,フシギバナ,グラスフィールド,くさ,変化,0,-,12,,5ターンの間全体の場をグラスフィールド状態にする。,2026/4/10,
3,フシギバナ,なやみのタネ,くさ,変化,0,100,12,,相手の特性をふみんにする。,2026/4/10,
3,フシギバナ,ねをはる,くさ,変化,0,-,20,,自分はねをはる状態になる。,2026/4/10,TRUE
3,フシギバナ,こうごうせい,くさ,変化,0,-,8,,自分のHPを最大HPの1/2回復する。にほんばれ状態の場合は2/3回復する。それ以外の天気の場合は1/4回復する。,2026/4/10,TRUE
3,フシギバナ,せいちょう,ノーマル,変化,0,-,20,,自分の攻撃、特攻を1段階上げる。にほんばれ状態の場合、2段階上げる。,2026/4/10,TRUE
3,フシギバナ,やどりぎのタネ,くさ,変化,0,90,12,,相手をやどりぎのタネ状態にする。,2026/4/10,TRUE
3,フシギバナ,どくづき,どく,物理,80,100,20,1,30%の確率で相手をどく状態にする。,2026/4/10,TRUE
3,フシギバナ,ヘドロウェーブ,どく,特殊,95,100,12,1,10%の確率で相手をどく状態にする。,2026/4/10,TRUE
3,フシギバナ,ベノムショック,どく,特殊,65,100,12,1,相手がどく、もうどく状態の場合威力が2倍になる。,2026/4/10,
3,フシギバナ,アシッドボム,どく,特殊,40,100,20,1,相手の特防を2段階下げる。,2026/4/10,TRUE
3,フシギバナ,どくどく,どく,変化,0,90,12,,相手をもうどく状態にする。どくタイプが使うと相手に必ず命中する。,2026/4/10,TRUE
3,フシギバナ,どくのこな,どく,変化,0,75,20,,相手をどく状態にする。,2026/4/10,
3,フシギバナ,じしん,じめん,物理,100,100,12,1,地中状態の相手には威力が2倍になる。グラスフィールド状態の時、威力が1/2になる。,2026/4/10,
3,フシギバナ,じだんだ,じめん,物理,75,100,12,1,前のターン自分が動けなかったり技を外したり失敗していた場合、威力が2倍になる。,2026/4/10,
3,フシギバナ,じならし,じめん,物理,60,100,20,1,相手の素早さを1段階下げる。グラスフィールド状態の時、威力が1/2になる。,2026/4/10,TRUE
3,フシギバナ,だいちのちから,じめん,特殊,90,100,12,1,10%の確率で相手の特防を1段階下げる。,2026/4/10,TRUE
3,フシギバナ,ねむる,エスパー,変化,0,-,8,,自分のHPを全回復し状態異常も回復する。2ターンの間 ねむり状態になる。HPが満タンだと失敗する。,2026/4/10,
3,フシギバナ,ドわすれ,エスパー,変化,0,-,20,,自分の特防を2段階上げる。,2026/4/10,
3,フシギバナ,ひかりのかべ,エスパー,変化,0,-,20,,5ターンの間、味方の場をひかりのかべ状態にする。,2026/4/10,
3,フシギバナ,のろい,ゴースト,変化,0,-,12,,自分のHPを最大HPの1/2減らし、相手をのろい状態にする。ゴーストタイプ以外の場合、自分の素早さを1段階下げて、攻撃・防御を1段階上げる。,2026/4/10,
3,フシギバナ,げきりん,ドラゴン,物理,120,100,12,1,自分はあばれ状態になる。,2026/4/10,
3,フシギバナ,はたきおとす,あく,物理,65,100,20,1,相手が道具を持っていると威力が1.5倍になる。相手の道具を失わせる。,2026/4/10,
3,フシギバナ,あまえる,フェアリー,変化,0,100,20,,相手の攻撃を2段階下げる。,2026/4/10,
3,メガフシギバナ,くさむすび,くさ,特殊,,100,20,1,相手が重いほど威力が上がる。威力20-120。,2026/4/10,
3,メガフシギバナ,こうごうせい,くさ,変化,0,-,8,,自分のHPを最大HPの1/2回復する。にほんばれ状態の場合は2/3回復する。それ以外の天気の場合は1/4回復する。,2026/4/10,TRUE
3,メガフシギバナ,やどりぎのタネ,くさ,変化,0,90,12,,相手をやどりぎのタネ状態にする。,2026/4/10,TRUE
3,メガフシギバナ,だいちのちから,じめん,特殊,90,100,12,1,10%の確率で相手の特防を1段階下げる。,2026/4/10,TRUE
3,メガフシギバナ,ヘドロばくだん,どく,特殊,90,100,12,1,30%の確率で相手をどく状態にする。,2026/4/10,TRUE
3,メガフシギバナ,ギガインパクト,ノーマル,物理,150,90,8,1,使った次のターン、自分は反動状態になる。,2026/4/10,
3,メガフシギバナ,すてみタックル,ノーマル,物理,120,100,16,1,与えたダメージの1/3を自分も受ける。,2026/4/10,
3,メガフシギバナ,のしかかり,ノーマル,物理,85,100,16,1,30%の確率で相手をまひ状態にする。ちいさくなる状態の相手には、威力が2倍になり必ず命中する。,2026/4/10,
3,メガフシギバナ,からげんき,ノーマル,物理,70,100,20,1,自分がどく、もうどく、まひ、やけど状態のいずれかの場合 威力が2倍になる。やけど状態による物理技のダメージが半減される効果は無視する。,2026/4/10,
3,メガフシギバナ,はかいこうせん,ノーマル,特殊,150,90,8,1,使った次のターン、自分は反動状態になる。,2026/4/10,
3,メガフシギバナ,りんしょう,ノーマル,特殊,60,100,16,1,同じターンに複数のポケモンがこの技を使うと、1匹目が使ったすぐ後に2匹目以降が使う。2匹目以降の威力は2倍になる。,2026/4/10,
3,メガフシギバナ,だいちのはどう,ノーマル,特殊,50,100,12,1,自分がフィールドの効果を受けている場合、威力が2倍になる。フィールドの種類によってタイプが変わる。,2026/4/10,
3,メガフシギバナ,ウェザーボール,ノーマル,特殊,50,100,12,1,天気が変わっていると、威力が2倍になりタイプも変わる。にほんばれ状態：ほのお、あめ状態：みず、ゆき状態：こおり、すなあらし状態：いわ。,2026/4/10,
3,メガフシギバナ,いびき,ノーマル,特殊,50,100,16,1,自分がねむり状態の場合使うことができる。30%の確率で相手をひるませる。,2026/4/10,
3,メガフシギバナ,てだすけ,ノーマル,変化,0,-,20,,使ったターン中、味方の技の威力を1.5倍する。,2026/4/10,
3,メガフシギバナ,あまいかおり,ノーマル,変化,0,100,20,,相手の回避率を2段階下げる。,2026/4/10,
3,メガフシギバナ,ねごと,ノーマル,変化,0,-,12,,自分がねむり状態の場合使うことができる。自分が覚えている他の技の中からいずれかの技を使う。,2026/4/10,
3,メガフシギバナ,こらえる,ノーマル,変化,0,-,12,,使ったターン中はひんしになる技のダメージを受けると、HPを1残して耐える。連続で使うと成功率が前に使った時の1/3になる。,2026/4/10,
3,メガフシギバナ,こわいかお,ノーマル,変化,0,100,12,,相手の素早さを2段階下げる。,2026/4/10,
3,メガフシギバナ,まもる,ノーマル,変化,0,-,8,,使ったターン中、相手の技から見を守る。連続で使うと成功率が前に使った時の1/3になる。,2026/4/10,
3,メガフシギバナ,みがわり,ノーマル,変化,0,-,12,,自分のHPを最大HPの1/4減らしみがわりを出す。みがわりは、自分の代わりに技を受ける。最大HPの1/4のダメージを受けると消える。,2026/4/10,
3,メガフシギバナ,ほえる,ノーマル,変化,0,-,20,,相手に控えがいる場合、相手をランダムに交代させる。,2026/4/10,
3,メガフシギバナ,つるぎのまい,ノーマル,変化,0,-,20,,自分の攻撃を2段階上げる。,2026/4/10,
3,メガフシギバナ,パワーウィップ,くさ,物理,120,85,12,1,通常の攻撃技。,2026/4/10,
3,メガフシギバナ,はなふぶき,くさ,物理,90,100,16,1,通常の攻撃技。,2026/4/10,
3,メガフシギバナ,タネばくだん,くさ,物理,80,100,16,1,通常の攻撃技。,2026/4/10,
3,メガフシギバナ,グラススライダー,くさ,物理,55,100,20,1,グラスフィールド状態の効果を受けている場合、優先度+1になる。,2026/4/10,
3,メガフシギバナ,くさわけ,くさ,物理,50,100,20,1,自分の素早さを1段階上げる。,2026/4/10,
3,メガフシギバナ,タネマシンガン,くさ,物理,25,100,20,2～5,2ー5回連続で攻撃する。,2026/4/10,
3,メガフシギバナ,ハードプラント,くさ,特殊,150,90,8,1,使った次のターン、自分は反動状態になる。,2026/4/10,
3,メガフシギバナ,リーフストーム,くさ,特殊,130,90,8,1,自分の特攻を2段階下げる。,2026/4/10,TRUE
3,メガフシギバナ,はなびらのまい,くさ,特殊,120,100,12,1,自分はあばれ状態になる。,2026/4/10,
3,メガフシギバナ,ソーラービーム,くさ,特殊,120,100,12,1,使ったターンで溜め状態になり、次のターンで攻撃する。にほんばれ状態の場合は溜め状態にならず、すぐに攻撃できる。他の天気の場合は威力が1/2になる。,2026/4/10,TRUE
3,メガフシギバナ,エナジーボール,くさ,特殊,90,100,12,1,10%の確率で相手の特防を1段階下げる。,2026/4/10,TRUE
3,メガフシギバナ,ギガドレイン,くさ,特殊,75,100,12,1,相手に与えたダメージの1/2自分のHPを回復する。,2026/4/10,TRUE
3,メガフシギバナ,グラスフィールド,くさ,変化,0,-,12,,5ターンの間全体の場をグラスフィールド状態にする。,2026/4/10,
3,メガフシギバナ,なやみのタネ,くさ,変化,0,100,12,,相手の特性をふみんにする。,2026/4/10,
3,メガフシギバナ,ねをはる,くさ,変化,0,-,20,,自分はねをはる状態になる。,2026/4/10,TRUE
3,メガフシギバナ,ねむりごな,くさ,変化,0,75,16,,相手をねむり状態にする。,2026/4/10,TRUE
3,メガフシギバナ,せいちょう,ノーマル,変化,0,-,20,,自分の攻撃、特攻を1段階上げる。にほんばれ状態の場合、2段階上げる。,2026/4/10,TRUE
3,メガフシギバナ,にほんばれ,ほのお,変化,0,-,8,,5ターンの間、にほんばれ状態にする。,2026/4/10,
3,メガフシギバナ,どくづき,どく,物理,80,100,20,1,30%の確率で相手をどく状態にする。,2026/4/10,TRUE
3,メガフシギバナ,ヘドロウェーブ,どく,特殊,95,100,12,1,10%の確率で相手をどく状態にする。,2026/4/10,TRUE
3,メガフシギバナ,ベノムショック,どく,特殊,65,100,12,1,相手がどく、もうどく状態の場合威力が2倍になる。,2026/4/10,
3,メガフシギバナ,アシッドボム,どく,特殊,40,100,20,1,相手の特防を2段階下げる。,2026/4/10,TRUE
3,メガフシギバナ,どくどく,どく,変化,0,90,12,,相手をもうどく状態にする。どくタイプが使うと相手に必ず命中する。,2026/4/10,TRUE
3,メガフシギバナ,どくのこな,どく,変化,0,75,20,,相手をどく状態にする。,2026/4/10,
3,メガフシギバナ,じしん,じめん,物理,100,100,12,1,地中状態の相手には威力が2倍になる。グラスフィールド状態の時、威力が1/2になる。,2026/4/10,
3,メガフシギバナ,じだんだ,じめん,物理,75,100,12,1,前のターン自分が動けなかったり技を外したり失敗していた場合、威力が2倍になる。,2026/4/10,
3,メガフシギバナ,じならし,じめん,物理,60,100,20,1,相手の素早さを1段階下げる。グラスフィールド状態の時、威力が1/2になる。,2026/4/10,TRUE
3,メガフシギバナ,ねむる,エスパー,変化,0,-,8,,自分のHPを全回復し状態異常も回復する。2ターンの間 ねむり状態になる。HPが満タンだと失敗する。,2026/4/10,
3,メガフシギバナ,ドわすれ,エスパー,変化,0,-,20,,自分の特防を2段階上げる。,2026/4/10,
3,メガフシギバナ,ひかりのかべ,エスパー,変化,0,-,20,,5ターンの間、味方の場をひかりのかべ状態にする。,2026/4/10,
3,メガフシギバナ,のろい,ゴースト,変化,0,-,12,,自分のHPを最大HPの1/2減らし、相手をのろい状態にする。ゴーストタイプ以外の場合、自分の素早さを1段階下げて、攻撃・防御を1段階上げる。,2026/4/10,
3,メガフシギバナ,げきりん,ドラゴン,物理,120,100,12,1,自分はあばれ状態になる。,2026/4/10,
3,メガフシギバナ,はたきおとす,あく,物理,65,100,20,1,相手が道具を持っていると威力が1.5倍になる。相手の道具を失わせる。,2026/4/10,
3,メガフシギバナ,あまえる,フェアリー,変化,0,100,20,,相手の攻撃を2段階下げる。,2026/4/10,
6,メガリザードンX,ドラゴンクロー,ドラゴン,物理,80,100,16,1,通常の攻撃技。,2026/4/10,TRUE
6,メガリザードンX,ニトロチャージ,ほのお,物理,50,100,20,1,自分の素早さを1段階上げる。,2026/4/10,TRUE
6,メガリザードンX,つるぎのまい,ノーマル,変化,0,-,20,,自分の攻撃を2段階上げる。,2026/4/10,TRUE
6,メガリザードンX,はねやすめ,ひこう,変化,0,-,8,,自分のHPを最大HPの1/2回復する。ひこうタイプが使うとそのターン中ひこうタイプでなくなる。,2026/4/10,TRUE
6,メガリザードンX,フレアドライブ,ほのお,物理,120,100,16,1,相手に与えたダメージの1/3を自分も受ける。10%の確率で相手をやけど状態にする。使うとこおり状態が治る。,2026/4/10,TRUE
6,メガリザードンX,おにび,ほのお,変化,0,85,16,,相手をやけど状態にする。,2026/4/10,TRUE
6,メガリザードンX,りゅうのまい,ドラゴン,変化,0,-,20,,自分の攻撃、素早さを1段階上げる。,2026/4/10,
6,メガリザードンX,ギガインパクト,ノーマル,物理,150,90,8,1,使った次のターン、自分は反動状態になる。,2026/4/10,
6,メガリザードンX,すてみタックル,ノーマル,物理,120,100,16,1,与えたダメージの1/3を自分も受ける。,2026/4/10,
6,メガリザードンX,メガトンキック,ノーマル,物理,120,75,8,1,通常の攻撃技。,2026/4/10,
6,メガリザードンX,のしかかり,ノーマル,物理,85,100,16,1,30%の確率で相手をまひ状態にする。ちいさくなる状態の相手には、威力が2倍になり必ず命中する。,2026/4/10,
6,メガリザードンX,からげんき,ノーマル,物理,70,100,20,1,自分がどく、もうどく、まひ、やけど状態のいずれかの場合 威力が2倍になる。やけど状態による物理技のダメージが半減される効果は無視する。,2026/4/10,
6,メガリザードンX,はかいこうせん,ノーマル,特殊,150,90,8,1,使った次のターン、自分は反動状態になる。,2026/4/10,
6,メガリザードンX,りんしょう,ノーマル,特殊,60,100,16,1,同じターンに複数のポケモンがこの技を使うと、1匹目が使ったすぐ後に2匹目以降が使う。2匹目以降の威力は2倍になる。,2026/4/10,
6,メガリザードンX,ウェザーボール,ノーマル,特殊,50,100,12,1,天気が変わっていると、威力が2倍になりタイプも変わる。にほんばれ状態：ほのお、あめ状態：みず、ゆき状態：こおり、すなあらし状態：いわ。,2026/4/10,
6,メガリザードンX,いびき,ノーマル,特殊,50,100,16,1,自分がねむり状態の場合使うことができる。30%の確率で相手をひるませる。,2026/4/10,
6,メガリザードンX,てだすけ,ノーマル,変化,0,-,20,,使ったターン中、味方の技の威力を1.5倍する。,2026/4/10,
6,メガリザードンX,ねごと,ノーマル,変化,0,-,12,,自分がねむり状態の場合使うことができる。自分が覚えている他の技の中からいずれかの技を使う。,2026/4/10,
6,メガリザードンX,こらえる,ノーマル,変化,0,-,12,,使ったターン中はひんしになる技のダメージを受けると、HPを1残して耐える。連続で使うと成功率が前に使った時の1/3になる。,2026/4/10,
6,メガリザードンX,はらだいこ,ノーマル,変化,0,-,12,,自分のHPを最大HPの1/2減らし、攻撃を6段階目まで上げる。残りHPが足りない場合は失敗する。,2026/4/10,
6,メガリザードンX,こわいかお,ノーマル,変化,0,100,12,,相手の素早さを2段階下げる。,2026/4/10,
6,メガリザードンX,まもる,ノーマル,変化,0,-,8,,使ったターン中、相手の技から見を守る。連続で使うと成功率が前に使った時の1/3になる。,2026/4/10,
6,メガリザードンX,みがわり,ノーマル,変化,0,-,12,,自分のHPを最大HPの1/4減らしみがわりを出す。みがわりは、自分の代わりに技を受ける。最大HPの1/4のダメージを受けると消える。,2026/4/10,TRUE
6,メガリザードンX,ほえる,ノーマル,変化,0,-,20,,相手に控えがいる場合、相手をランダムに交代させる。,2026/4/10,
6,メガリザードンX,ソーラービーム,くさ,特殊,120,100,12,1,使ったターンで溜め状態になり、次のターンで攻撃する。にほんばれ状態の場合は溜め状態にならず、すぐに攻撃できる。他の天気の場合は威力が1/2になる。,2026/4/10,
6,メガリザードンX,やけっぱち,ほのお,物理,75,100,12,1,前のターン自分が動けなかったり技を外したり失敗していた場合、威力が2倍になる。,2026/4/10,
6,メガリザードンX,ほのおのパンチ,ほのお,物理,75,100,16,1,10%の確率で相手をやけど状態にする。,2026/4/10,
6,メガリザードンX,ほのおのキバ,ほのお,物理,65,95,16,1,10%の確率で相手をやけど状態にする。10%の確率で相手をひるませる。,2026/4/10,
6,メガリザードンX,ヒートスタンプ,ほのお,物理,,100,12,1,自分が相手より重いほど威力が上がる。威力40ー120。ちいさくなる状態の相手には、威力が2倍になり必ず命中する。,2026/4/10,
6,メガリザードンX,ブラストバーン,ほのお,特殊,150,90,8,1,使った次のターン、自分は反動状態になる。,2026/4/10,
6,メガリザードンX,オーバーヒート,ほのお,特殊,130,90,8,1,自分の特攻を2段階下げる。,2026/4/10,
6,メガリザードンX,だいもんじ,ほのお,特殊,110,85,8,1,10%の確率で相手をやけど状態にする。,2026/4/10,
6,メガリザードンX,れんごく,ほのお,特殊,100,50,8,1,相手をやけど状態にする。,2026/4/10,
6,メガリザードンX,ねっぷう,ほのお,特殊,95,90,12,1,10%の確率で相手をやけど状態にする。,2026/4/10,
6,メガリザードンX,かえんほうしゃ,ほのお,特殊,90,100,16,1,10%の確率で相手をやけど状態にする。,2026/4/10,
6,メガリザードンX,ほのおのうず,ほのお,特殊,35,85,16,1,相手をバインド状態にする。,2026/4/10,
6,メガリザードンX,にほんばれ,ほのお,変化,0,-,8,,5ターンの間、にほんばれ状態にする。,2026/4/10,
6,メガリザードンX,かみなり,でんき,特殊,110,70,12,1,30%の確率で相手をまひ状態にする。あめ状態の場合、相手に必ず命中する。空中状態の相手にも当たる。,2026/4/10,
6,メガリザードンX,かみなりパンチ,でんき,物理,75,100,16,1,10%の確率で相手をまひ状態にする。,2026/4/10,TRUE
6,メガリザードンX,そらをとぶ,ひこう,物理,90,95,16,1,使ったターンで空中状態になり、次のターンで攻撃する。,2026/4/10,
6,メガリザードンX,つばめがえし,ひこう,物理,60,-,20,1,必ず命中する。,2026/4/10,
6,メガリザードンX,アクロバット,ひこう,物理,55,100,16,1,自分が道具を持っていない場合威力が2倍になる。,2026/4/10,
6,メガリザードンX,ぼうふう,ひこう,特殊,110,70,12,1,30%の確率で相手をこんらん状態にする。あめ状態の場合、相手に必ず命中する。空中状態の相手にも当たる。,2026/4/10,
6,メガリザードンX,エアスラッシュ,ひこう,特殊,75,95,16,1,30%の確率で相手をひるませる。,2026/4/10,
6,メガリザードンX,エアカッター,ひこう,特殊,60,95,20,1,きゅうしょアップ+1で攻撃する。,2026/4/10,
6,メガリザードンX,いわなだれ,いわ,物理,75,90,12,1,30%の確率で相手をひるませる。,2026/4/10,
6,メガリザードンX,がんせきふうじ,いわ,物理,60,95,16,1,相手の素早さを1段階下げる。,2026/4/10,
6,メガリザードンX,げんしのちから,いわ,特殊,60,100,8,1,10%の確率で自分の攻撃、防御、特攻、特防、素早さを1段階上げる。,2026/4/10,
6,メガリザードンX,すなあらし,いわ,変化,0,-,8,,5ターンの間すなあらし状態にする。,2026/4/10,
6,メガリザードンX,じしん,じめん,物理,100,100,12,1,地中状態の相手には威力が2倍になる。グラスフィールド状態の時、威力が1/2になる。,2026/4/10,TRUE
6,メガリザードンX,あなをほる,じめん,物理,80,100,12,1,使ったターンで地中状態になり、次のターンで攻撃する。,2026/4/10,
6,メガリザードンX,じならし,じめん,物理,60,100,20,1,相手の素早さを1段階下げる。グラスフィールド状態の時、威力が1/2になる。,2026/4/10,
6,メガリザードンX,ねっさのだいち,じめん,特殊,70,100,12,1,30%の確率で相手をやけど状態にする。相手のこおり状態を治す。使うと自分のこおり状態を治す。,2026/4/10,
6,メガリザードンX,きあいパンチ,かくとう,物理,150,100,20,1,自分が技を使うターンで、先に相手からの技のダメージを受けると失敗する。,2026/4/10,
6,メガリザードンX,かわらわり,かくとう,物理,75,100,16,1,相手の場のひかりのかべ、リフレクター、オーロラベール状態を解除して攻撃する。,2026/4/10,
6,メガリザードンX,カウンター,かくとう,物理,,100,20,,使ったターンに相手から受けた物理技のダメージを2倍にして返す。,2026/4/10,
6,メガリザードンX,きあいだま,かくとう,特殊,120,70,8,1,10%の確率で相手の特防を1段階下げる。,2026/4/10,
6,メガリザードンX,ねむる,エスパー,変化,0,-,8,,自分のHPを全回復し状態異常も回復する。2ターンの間 ねむり状態になる。HPが満タンだと失敗する。,2026/4/10,
6,メガリザードンX,シャドークロー,ゴースト,物理,70,100,16,1,きゅうしょアップ+1で攻撃する。,2026/4/10,
6,メガリザードンX,げきりん,ドラゴン,物理,120,100,12,1,自分はあばれ状態になる。,2026/4/10,TRUE
6,メガリザードンX,ドラゴンダイブ,ドラゴン,物理,100,75,12,1,20%の確率で相手をひるませる。ちいさくなる状態の相手には、威力が2倍になり必ず命中する。,2026/4/10,
6,メガリザードンX,ワイドブレイカー,ドラゴン,物理,60,100,16,1,相手の攻撃を1段階下げる。,2026/4/10,
6,メガリザードンX,ドラゴンテール,ドラゴン,物理,60,90,12,1,相手に控えがいる場合、相手をランダムに交代させる。,2026/4/10,
6,メガリザードンX,スケイルショット,ドラゴン,物理,25,90,20,2～5,2ー5回連続で攻撃する。自分の防御を1段階下げ、素早さを1段階上げる。,2026/4/10,TRUE
6,メガリザードンX,りゅうのはどう,ドラゴン,特殊,85,100,12,1,通常の攻撃技。,2026/4/10,
6,メガリザードンX,ドラゴンエール,ドラゴン,変化,0,-,16,,味方をきゅうしょアップ状態にする。ドラゴンタイプなら+2、それ以外のタイプなら+1。,2026/4/10,
6,メガリザードンX,かみくだく,あく,物理,80,100,16,1,20%の確率で相手の防御を1段階下げる。,2026/4/10,
6,メガリザードンX,ぶんまわす,あく,物理,60,100,20,1,通常の攻撃技。,2026/4/10,
6,メガリザードンX,かみつく,あく,物理,60,100,20,1,30%の確率で相手をひるませる。,2026/4/10,
6,メガリザードンX,なげつける,あく,物理,,100,12,,持っている道具によって威力と効果が変わる。使うと道具はなくなる。,2026/4/10,
6,メガリザードンX,ふくろだたき,あく,物理,,100,12,,手持ちのポケモンの数だけ相手を攻撃する。ひんしや状態異常のポケモンは数えない。技の威力は手持ちポケモンのこうげきで計算する。,2026/4/10,
6,メガリザードンX,アイアンテール,はがね,物理,100,75,16,1,30%の確率で相手の防御を1段階下げる。,2026/4/10,
6,メガリザードンX,はがねのつばさ,はがね,物理,70,90,20,1,10%の確率で自分の防御を1段階上げる。,2026/4/10,
6,メガリザードンY,にほんばれ,ほのお,変化,0,-,8,,5ターンの間、にほんばれ状態にする。,2026/4/10,
6,メガリザードンY,オーバーヒート,ほのお,特殊,130,90,8,1,自分の特攻を2段階下げる。,2026/4/10,TRUE
6,メガリザードンY,かえんほうしゃ,ほのお,特殊,90,100,16,1,10%の確率で相手をやけど状態にする。,2026/4/10,TRUE
6,メガリザードンY,ソーラービーム,くさ,特殊,120,100,12,1,使ったターンで溜め状態になり、次のターンで攻撃する。にほんばれ状態の場合は溜め状態にならず、すぐに攻撃できる。他の天気の場合は威力が1/2になる。,2026/4/10,TRUE
6,メガリザードンY,げんしのちから,いわ,特殊,60,100,8,1,10%の確率で自分の攻撃、防御、特攻、特防、素早さを1段階上げる。,2026/4/10,TRUE
6,メガリザードンY,ねっぷう,ほのお,特殊,95,90,12,1,10%の確率で相手をやけど状態にする。,2026/4/10,
6,メガリザードンY,まもる,ノーマル,変化,0,-,8,,使ったターン中、相手の技から見を守る。連続で使うと成功率が前に使った時の1/3になる。,2026/4/10,
6,メガリザードンY,だいもんじ,ほのお,特殊,110,85,8,1,10%の確率で相手をやけど状態にする。,2026/4/10,TRUE
6,メガリザードンY,ニトロチャージ,ほのお,物理,50,100,20,1,自分の素早さを1段階上げる。,2026/4/10,TRUE
6,メガリザードンY,ギガインパクト,ノーマル,物理,150,90,8,1,使った次のターン、自分は反動状態になる。,2026/4/10,
